DATE,Price
2020/5/5,207.1396788
2020/5/6,201.3836411
2020/5/7,207.6472591
2020/5/8,212.8508357
2020/5/9,212.2310734
2020/5/10,188.2166899
2020/5/11,187.8121417
2020/5/12,189.203231
2020/5/13,193.5768076
2020/5/14,200.6603892
2020/5/15,198.9458609
2020/5/16,199.7674528
2020/5/17,204.313963
2020/5/18,212.7343576
2020/5/19,212.7007487
2020/5/20,212.2345721
2020/5/21,206.4948472
2020/5/22,202.8616438
2020/5/23,208.1354661
2020/5/24,207.7388196
2020/5/25,203.6531506
2020/5/26,203.204092
2020/5/27,205.8137786
2020/5/28,211.0252631
2020/5/29,220.7507284
2020/5/30,231.5451675
2020/5/31,236.9064039
2020/6/1,237.9226177
2020/6/2,243.8523347
2020/6/3,238.9999151
2020/6/4,241.9130572
2020/6/5,242.7324202
2020/6/6,241.0186385
2020/6/7,240.7382956
2020/6/8,243.4720099
2020/6/9,243.4960529
2020/6/10,245.1263146
2020/6/11,242.6415884
2020/6/12,235.7643278
2020/6/13,237.5516751
2020/6/14,236.7510905
2020/6/15,228.6706511
2020/6/16,233.5714068
2020/6/17,232.991729
2020/6/18,232.126447
2020/6/19,229.0643608
2020/6/20,229.2883087
2020/6/21,230.7445009
2020/6/22,237.2588348
2020/6/23,242.0473836
2020/6/24,240.5282709
2020/6/25,233.7800094
2020/6/26,231.8836091
2020/6/27,228.9281179
2020/6/28,224.1593116
2020/6/29,225.3323478
2020/6/30,226.4979273
2020/7/1,228.1264115
2020/7/2,230.0099573
2020/7/3,227.359564
2020/7/4,226.8793882
2020/7/5,226.5930363
2020/7/6,233.3456582
2020/7/7,237.5567786
2020/7/8,241.2870832
2020/7/9,246.5429848
2020/7/10,244.9844266
2020/7/11,244.9844266
2020/7/12,242.1112863
2020/7/13,241.9115511
2020/7/14,236.8561774
2020/7/15,235.3702813
2020/7/16,234.1138736
2020/7/17,230.9751532
2020/7/18,250.6729289
2020/7/19,254.1017075
2020/7/20,238.1584943
2020/7/21,236.3470158
2020/7/22,236.7270273
2020/7/23,265.8846015
2020/7/24,275.0980336
2020/7/25,287.0539042
2020/7/26,306.9413971
2020/7/27,321.1042568
2020/7/28,312.3051056
2020/7/29,328.1347537
2020/7/30,322.2014968
2020/7/31,346.2735567
2020/8/1,388.414346
2020/8/2,367.720599
2020/8/3,374.4212051
2020/8/4,383.8740528
2020/8/5,393.6739102
2020/8/6,393.4338532
2020/8/7,388.2234412
2020/8/8,380.5322956
2020/8/9,393.6045327
2020/8/10,399.5316073
2020/8/11,396.6262846
2020/8/12,382.9043033
2020/8/13,394.2746905
2020/8/14,426.5447067
2020/8/15,427.1859333
2020/8/16,423.3434482
2020/8/17,427.3925491
2020/8/18,428.60763
2020/8/19,415.3520425
2020/8/20,412.3063967
2020/8/21,406.4752875
2020/8/22,389.9457735
2020/8/23,388.0685324
2020/8/24,397.9436946
2020/8/25,393.9499017
2020/8/26,387.0699242
2020/8/27,385.5682401
2020/8/28,390.6902751
2020/8/29,399.101722
2020/8/30,417.2129245
2020/8/31,429.2233047
2020/9/1,460.6353371
2020/9/2,460.0441709
2020/9/3,427.8499205
2020/9/4,392.9784069
2020/9/5,371.0245156
2020/9/6,345.0273614
2020/9/7,350.5477596
2020/9/8,345.0734227
2020/9/9,346.1922954
2020/9/10,372.692326
2020/9/11,367.8791438
2020/9/12,376.5196596
2020/9/13,377.6975988
2020/9/14,372.7445489
2020/9/15,374.2572093
2020/9/16,366.0712071
2020/9/17,380.3506113
2020/9/18,388.3942529
2020/9/19,385.1507598
2020/9/20,380.8578996
2020/9/21,362.6598837
2020/9/22,345.4225082
2020/9/23,339.1307136
2020/9/24,333.3933944
2020/9/25,346.4226284
2020/9/26,354.0351497
2020/9/27,355.9363548
2020/9/28,360.7149051
2020/9/29,358.1577712
2020/9/30,358.5525381
2020/10/1,363.1702452
2020/10/2,347.3677621
2020/10/3,346.1009065
2020/10/4,347.7019082
2020/10/5,351.4186991
2020/10/6,349.8631121
2020/10/7,339.9713266
2020/10/8,339.7042525
2020/10/9,353.7465732
2020/10/10,370.6416342
2020/10/11,374.4055483
2020/10/12,375.8681507
2020/10/13,382.5516176
2020/10/14,379.6462543
2020/10/15,377.1171935
2020/10/16,370.063981
2020/10/17,367.5041333
2020/10/18,372.4722116
2020/10/19,377.4561767
2020/10/20,374.6839727
2020/10/21,378.1777959
2020/10/22,392.7822101
2020/10/23,404.8944956
2020/10/24,411.80858
2020/10/25,409.5885062
2020/10/26,401.8590013
2020/10/27,399.6152061
2020/10/28,394.8712774
2020/10/29,387.2204048
2020/10/30,382.6705559
2020/10/31,385.8215794
2020/11/1,388.5577712
2020/11/2,386.2319562
2020/11/3,379.6686247
2020/11/4,387.0697021
2020/11/5,404.3434538
2020/11/6,435.6284054
2020/11/7,451.0727391
2020/11/8,442.9291929
2020/11/9,449.6890221
2020/11/10,446.7775996
2020/11/11,457.2912814
2020/11/12,459.3365658
2020/11/13,464.3408537
2020/11/14,466.0650384
2020/11/15,455.1167041
2020/11/16,453.2160849
2020/11/17,469.6973649
2020/11/18,482.6846992
2020/11/19,475.4186341
2020/11/20,497.0119029
2020/11/21,521.2446219
2020/11/22,543.6964066
2020/11/23,586.6287982
2020/11/24,601.5816922
2020/11/25,592.0919572
2020/11/26,551.6501225
2020/11/27,503.3905416
2020/11/28,523.4730581
2020/11/29,543.2167092
2020/11/30,577.8462966
2020/12/1,603.709753
2020/12/2,593.4563269
2020/12/3,604.3435165
2020/12/4,599.4852968
2020/12/5,586.8029093
2020/12/6,590.6420748
2020/12/7,589.766673
2020/12/8,579.5056313
2020/12/9,559.6112392
2020/12/10,562.6029337
2020/12/11,547.0573191
2020/12/12,557.6684794
2020/12/13,582.0457189
2020/12/14,583.6636949
2020/12/15,584.9807148
2020/12/16,592.1585631
2020/12/17,653.5353026
2020/12/18,648.0666266
2020/12/19,656.3316778
2020/12/20,649.2991727
2020/12/21,625.5615137
2020/12/22,615.7746807
2020/12/23,613.0686823
2020/12/24,589.7219008
2020/12/25,615.4645375
2020/12/26,631.4781253
2020/12/27,660.1286724
2020/12/28,722.4871249
2020/12/29,717.4350619
2020/12/30,731.6004881
2020/12/31,740.5083992
2021/1/1,738.3662748
2021/1/2,743.8751687
2021/1/3,845.0306854
2021/1/4,1052.504918
2021/1/5,1051.404121
2021/1/6,1132.84113
2021/1/7,1226.267988
2021/1/8,1204.466992
2021/1/9,1219.782936
2021/1/10,1327.152301
2021/1/11,1110.03161
2021/1/12,1086.314767
2021/1/13,1062.310337
2021/1/14,1159.327251
2021/1/15,1201.538805
2021/1/16,1208.744395
2021/1/17,1226.149951
2021/1/18,1225.69034
2021/1/19,1328.883562
2021/1/20,1344.909106
2021/1/21,1267.398599
2021/1/22,1183.550964
2021/1/23,1243.957513
2021/1/24,1313.477007
2021/1/25,1398.747006
2021/1/26,1334.257425
2021/1/27,1290.581263
2021/1/28,1302.000208
2021/1/29,1347.571716
2021/1/30,1373.845687
2021/1/31,1345.391567
2021/2/1,1318.102943
2021/2/2,1432.014629
2021/2/3,1567.798459
2021/2/4,1634.93185
2021/2/5,1671.058782
2021/2/6,1688.241738
2021/2/7,1605.020254
2021/2/8,1660.303005
2021/2/9,1747.784557
2021/2/10,1778.960392
2021/2/11,1753.753951
2021/2/12,1793.016228
2021/2/13,1849.875555
2021/2/14,1823.920503
2021/2/15,1777.639325
2021/2/16,1783.459053
2021/2/17,1797.69348
2021/2/18,1908.260023
2021/2/19,1923.724081
2021/2/20,1993.801376
2021/2/21,1947.444948
2021/2/22,1816.29244
2021/2/23,1540.142033
2021/2/24,1633.327822
2021/2/25,1610.962958
2021/2/26,1483.518023
2021/2/27,1497.128575
2021/2/28,1396.334163
2021/3/1,1479.236957
2021/3/2,1550.04289
2021/3/3,1567.916298
2021/3/4,1587.652522
2021/3/5,1488.273419
2021/3/6,1570.024326
2021/3/7,1666.145953
2021/3/8,1725.462364
2021/3/9,1835.207949
2021/3/10,1823.999598
2021/3/11,1791.202265
2021/3/12,1781.673549
2021/3/13,1840.080108
2021/3/14,1886.006467
2021/3/15,1813.063776
2021/3/16,1774.886886
2021/3/17,1800.429567
2021/3/18,1815.828863
2021/3/19,1806.851047
2021/3/20,1841.440716
2021/3/21,1792.913614
2021/3/22,1776.60292
2021/3/23,1694.806511
2021/3/24,1701.118991
2021/3/25,1695.577106
2021/3/26,1596.640985
2021/3/27,1631.580266
2021/3/28,1631.580266
2021/3/29,1688.396247
2021/3/30,1723.113186
2021/3/31,1855.114144
2021/4/1,1947.274409
2021/4/2,2024.195584
2021/4/3,2091.498358
2021/4/4,2064.78612
2021/4/5,2036.480838
2021/4/6,2080.095472
2021/4/7,2029.484329
2021/4/8,2030.22667
2021/4/9,2077.195388
2021/4/10,2134.56898
2021/4/11,2143.564124
2021/4/12,2156.229812
2021/4/13,2214.637561
2021/4/14,2338.439256
2021/4/15,2459.645472
2021/4/16,2444.356484
2021/4/17,2431.895829
2021/4/18,2218.2643
2021/4/19,2207.97618
2021/4/20,2173.459336
2021/4/21,2360.91207
2021/4/22,2496.896339
2021/4/23,2284.509825
2021/4/24,2286.203246
2021/4/25,2263.418274
2021/4/26,2456.613075
2021/4/27,2574.359833
2021/4/28,2688.177749
2021/4/29,2747.882264
2021/4/30,2758.340471
2021/5/1,2848.508427
2021/5/2,2940.415929
2021/5/3,3164.681816
2021/5/4,3342.325658
2021/5/5,3368.815237
2021/5/6,3492.882473
2021/5/7,3489.443734
2021/5/8,3640.847089
2021/5/9,3887.974499
2021/5/10,4069.175837
2021/5/11,4092.632725
2021/5/12,4162.827897
2021/5/13,3929.574924
2021/5/14,3949.268328
2021/5/15,3947.034864
2021/5/16,3756.477187
2021/5/17,3370.915561
2021/5/18,3437.209179
2021/5/19,3302.680253
2021/5/20,2656.723333
2021/5/21,2611.554427
2021/5/22,2361.51219
2021/5/23,2153.149647
2021/5/24,2349.482012
2021/5/25,2621.664292
2021/5/26,2729.866689
2021/5/27,2744.521763
2021/5/28,2577.976137
2021/5/29,2436.931283
2021/5/30,2345.968579
2021/5/31,2466.521729
2021/6/1,2593.622209
2021/6/2,2656.855773
2021/6/3,2748.944583
2021/6/4,2694.961341
2021/6/5,2714.368024
2021/6/6,2650.51842
2021/6/7,2731.52375
2021/6/8,2555.837973
2021/6/9,2528.853197
2021/6/10,2563.480817
2021/6/11,2496.722674
2021/6/12,2450.515
2021/6/13,2430.118014
2021/6/14,2468.992341
2021/6/15,2575.813014
2021/6/16,2490.899365
2021/6/17,2417.410906
2021/6/18,2343.748664
2021/6/19,2215.459278
2021/6/20,2219.274167
2021/6/21,2181.380292
2021/6/22,1939.924864
2021/6/23,1888.881667
2021/6/24,1973.995833
2021/6/25,2012.7
2021/6/26,1983.709225
2021/6/27,1907.336861
2021/6/28,1991.80553
2021/6/29,2126.44684
2021/6/30,2134.53646
2021/7/1,2104.59
2021/7/2,2097.40134
2021/7/3,2126.033081
2021/7/4,2292.620158
2021/7/5,2322.764004
2021/7/6,2328.822865
2021/7/7,2358.774745
2021/7/8,2206.916244
2021/7/9,2130.485526
2021/7/10,2122.318246
2021/7/11,2127.194702
2021/7/12,2112.241636
2021/7/13,2006.273967
2021/7/14,1956.567788
2021/7/15,1955.743838
2021/7/16,1913.891239
2021/7/17,1891.072159
2021/7/18,1935.870699
2021/7/19,1856.198512
2021/7/20,1776.659437
2021/7/21,1875.434892
2021/7/22,1998.246225
2021/7/23,2068.494707
2021/7/24,2127.109728
2021/7/25,2158.515823
2021/7/26,2309.316105
2021/7/27,2238.700011
2021/7/28,2295.490738
2021/7/29,2307.376437
2021/7/30,2405.689239
2021/7/31,2455.368472
2021/8/1,2597.125884
2021/8/2,2633.306135
2021/8/3,2638.93
2021/8/4,2638.93
2021/8/5,2638.93
2021/8/6,2638.93
2021/8/7,2880.601886
2021/8/8,3078.322862
2021/8/9,3057.420381
2021/8/10,3110.39965
2021/8/11,3195.261157
2021/8/12,3123.894277
2021/8/13,3195.072381
2021/8/14,3254.891952
2021/8/15,3257.155146
2021/8/16,3246.050411
2021/8/17,3161.634932
2021/8/18,3044.348635
2021/8/19,3034.065302
2021/8/20,3212.005897
2021/8/21,3259.498196
2021/8/22,3222.77875
2021/8/23,3315.386025
2021/8/24,3277.571123
2021/8/25,3176.45827
2021/8/26,3189.16118
2021/8/27,3174.155747
2021/8/28,3252.430047
2021/8/29,3232.765742
2021/8/30,3200.789099
2021/8/31,3311.78931
2021/9/1,3573.711947
2021/9/2,3768.635411
2021/9/3,3890.069975
2021/9/4,3911.757793
2021/9/5,3896.551483
2021/9/6,3932.463748
2021/9/7,3722.889526
2021/9/8,3410.894239
2021/9/9,3499.536623
2021/9/10,3394.063793
2021/9/11,3267.023645
2021/9/12,3357.080305
2021/9/13,3332.932628
2021/9/14,3337.739384
2021/9/15,3419.366667
2021/9/16,3422.55
2021/9/17,3421.172286
2021/9/18,3469.773188
2021/9/19,3393.484432
2021/9/20,3132.67987
2021/9/21,3035.76
2021/9/22,3035.76
2021/9/23,3035.76
2021/9/24,3021.341667
2021/9/25,2931.434008
2021/9/26,2962.162449
2021/9/27,3065.885836
2021/9/28,2909.33267
2021/9/29,2890.63932
2021/9/30,2995.902883
2021/10/1,3169.389906
2021/10/2,3343.434471
2021/10/3,3417.916388
2021/10/4,3369.18789
2021/10/5,3435.893419
2021/10/6,3508.346323
2021/10/7,3584.63686
2021/10/8,3610.449269
2021/10/9,3590.450876
2021/10/10,3544.894187
2021/10/11,3550.484343
2021/10/12,3493.024427
2021/10/13,3504.167258
2021/10/14,3699.840811
2021/10/15,3827.065499
2021/10/16,3879.12245
2021/10/17,3839.434755
2021/10/18,3798.410076
2021/10/19,3811.803499
2021/10/20,3964.405676
2021/10/21,4161.00095
2021/10/22,4071.263684
2021/10/23,4063.987793
2021/10/24,4081.558538
2021/10/25,4177.614592
2021/10/26,4223.309517
2021/10/27,4064.278924
2021/10/28,4142.224935
2021/10/29,4388.226133
2021/10/30,4343.267427
2021/10/31,4290.244939
2021/11/1,4313.643563
2021/11/2,4442.403989
2021/11/3,4591.590358
2021/11/4,4550.348898
2021/11/5,4515.499394
2021/11/6,4468.308901
2021/11/7,4594.272655
2021/11/8,4752.883622
2021/11/9,4797.308726
2021/11/10,4754.109236
2021/11/11,4704.671667
2021/11/12,4699.854167
2021/11/13,4658.79926
2021/11/14,4624.179286
2021/11/15,4662.165841
2021/11/16,4315.553949
2021/11/17,4220.768648
2021/11/18,4307.363956
2021/11/19,4147.345379
2021/11/20,4343.420417
2021/11/21,4373.093333
2021/11/22,4173.456318
2021/11/23,4177.918578
2021/11/24,4282.929509
2021/11/25,4355.316476
2021/11/26,4207.709042
2021/11/27,4116.213733
2021/11/28,4087.950781
2021/11/29,4357.451704
2021/11/30,4523.858194
2021/12/1,4692.756227
2021/12/2,4539.028
2021/12/3,4456.387205
2021/12/4,4004.520753
2021/12/5,4140.337793
2021/12/6,4132.286219
2021/12/7,4333.23
2021/12/8,4356.677676
2021/12/9,4289.064996
2021/12/10,4098.164348
2021/12/11,4012.142278
2021/12/12,4063.792239
2021/12/13,3922.2001
2021/12/14,3809.362083
2021/12/15,3879.32
2021/12/16,4036.783985
2021/12/17,3901.604044
2021/12/18,3911.442282
2021/12/19,3947.495274
2021/12/20,3860.678929
2021/12/21,4002.671165
2021/12/22,4014.67282
2021/12/23,3993.954365
2021/12/24,4093.513095
2021/12/25,4072.281866
2021/12/26,4058.273423
2021/12/27,4070.14723
2021/12/28,3897.722457
2021/12/29,3781.945347
2021/12/30,3708.939008
2021/12/31,3732.517314
2022/1/1,3728.245152
2022/1/2,3771.422852
2022/1/3,3795.8827
2022/1/4,3783.495034
2022/1/5,3775.35536
2022/1/6,3470.714007
2022/1/7,3219.948223
2022/1/8,3168.914249
2022/1/9,3138.28991
2022/1/10,3138.762435
2022/1/11,3146.564548
2022/1/12,3294.845327
2022/1/13,3345.624859
2022/1/14,3263.318936
2022/1/15,3330.85605
2022/1/16,3324.910789
2022/1/17,3253.684837
2022/1/18,3161.808906
2022/1/19,3119.0655
2022/1/20,3154.137106
2022/1/21,2791.934964
2022/1/22,2434.33937
2022/1/23,2434.154767
2022/1/24,2325.47505
2022/1/25,2404.884737
2022/1/26,2499.22497
2022/1/27,2433.527083
2022/1/28,2442.903378
2022/1/29,2563.377464
2022/1/30,2600.827827
2022/1/31,2582.658913
2022/2/1,2755.788008
2022/2/2,2734.80858
2022/2/3,2643.644814
