DATE,WETH_Price,Gold_Price
2021/1/1,738.3662748,"1,887.60"
2021/1/2,743.8751687,
2021/1/3,845.0306854,
2021/1/4,1052.504918,"1,943.20"
2021/1/5,1051.404121,"1,940.40"
2021/1/6,1132.84113,"1,932.00"
2021/1/7,1226.267988,"1,920.10"
2021/1/8,1204.466992,"1,862.90"
2021/1/9,1219.782936,
2021/1/10,1327.152301,
2021/1/11,1110.03161,"1,847.30"
2021/1/12,1086.314767,"1,841.30"
2021/1/13,1062.310337,"1,858.90"
2021/1/14,1159.327251,"1,841.80"
2021/1/15,1201.538805,"1,839.00"
2021/1/16,1208.744395,
2021/1/17,1226.149951,
2021/1/18,1225.69034,"1,833.10"
2021/1/19,1328.883562,"1,834.70"
2021/1/20,1344.909106,"1,856.60"
2021/1/21,1267.398599,"1,862.10"
2021/1/22,1183.550964,"1,852.70"
2021/1/23,1243.957513,
2021/1/24,1313.477007,
2021/1/25,1398.747006,"1,856.90"
2021/1/26,1334.257425,"1,856.60"
2021/1/27,1290.581263,"1,843.00"
2021/1/28,1302.000208,"1,853.70"
2021/1/29,1347.571716,"1,863.80"
2021/1/30,1373.845687,
2021/1/31,1345.391567,
2021/2/1,1318.102943,"1,863.00"
2021/2/2,1432.014629,"1,833.10"
2021/2/3,1567.798459,"1,835.50"
2021/2/4,1634.93185,"1,785.90"
2021/2/5,1671.058782,"1,803.00"
2021/2/6,1688.241738,
2021/2/7,1605.020254,
2021/2/8,1660.303005,"1,835.30"
2021/2/9,1747.784557,"1,839.60"
2021/2/10,1778.960392,"1,842.70"
2021/2/11,1753.753951,"1,840.10"
2021/2/12,1793.016228,"1,816.40"
2021/2/13,1849.875555,
2021/2/14,1823.920503,
2021/2/15,1777.639325,"1,817.30"
2021/2/16,1783.459053,"1,794.30"
2021/2/17,1797.69348,"1,780.70"
2021/2/18,1908.260023,"1,773.20"
2021/2/19,1923.724081,"1,786.20"
2021/2/20,1993.801376,
2021/2/21,1947.444948,
2021/2/22,1816.29244,"1,807.50"
2021/2/23,1540.142033,"1,799.70"
2021/2/24,1633.327822,"1,788.00"
2021/2/25,1610.962958,"1,779.70"
2021/2/26,1483.518023,"1,742.90"
2021/2/27,1497.128575,
2021/2/28,1396.334163,
2021/3/1,1479.236957,"1,734.20"
2021/3/2,1550.04289,"1,723.90"
2021/3/3,1567.916298,"1,711.40"
2021/3/4,1587.652522,"1,712.10"
2021/3/5,1488.273419,"1,696.30"
2021/3/6,1570.024326,
2021/3/7,1666.145953,
2021/3/8,1725.462364,"1,687.10"
2021/3/9,1835.207949,"1,716.90"
2021/3/10,1823.999598,"1,716.20"
2021/3/11,1791.202265,"1,724.30"
2021/3/12,1781.673549,"1,704.80"
2021/3/13,1840.080108,
2021/3/14,1886.006467,
2021/3/15,1813.063776,"1,723.70"
2021/3/16,1774.886886,"1,735.00"
2021/3/17,1800.429567,"1,729.70"
2021/3/18,1815.828863,"1,725.90"
2021/3/19,1806.851047,"1,735.20"
2021/3/20,1841.440716,
2021/3/21,1792.913614,
2021/3/22,1776.60292,"1,736.20"
2021/3/23,1694.806511,"1,726.20"
2021/3/24,1701.118991,"1,730.50"
2021/3/25,1695.577106,"1,737.30"
2021/3/26,1596.640985,"1,731.80"
2021/3/27,1631.580266,
2021/3/28,1631.580266,
2021/3/29,1688.396247,"1,706.00"
2021/3/30,1723.113186,"1,684.00"
2021/3/31,1855.114144,"1,691.10"
2021/4/1,1947.274409,"1,726.10"
2021/4/2,2024.195584,"1,726.10"
2021/4/3,2091.498358,
2021/4/4,2064.78612,
2021/4/5,2036.480838,"1,726.10"
2021/4/6,2080.095472,"1,744.70"
2021/4/7,2029.484329,"1,738.10"
2021/4/8,2030.22667,"1,755.50"
2021/4/9,2077.195388,"1,741.20"
2021/4/10,2134.56898,
2021/4/11,2143.564124,
2021/4/12,2156.229812,"1,732.90"
2021/4/13,2214.637561,"1,748.00"
2021/4/14,2338.439256,"1,735.60"
2021/4/15,2459.645472,"1,757.20"
2021/4/16,2444.356484,"1,774.50"
2021/4/17,2431.895829,
2021/4/18,2218.2643,
2021/4/19,2207.97618,"1,774.50"
2021/4/20,2173.459336,"1,777.90"
2021/4/21,2360.91207,"1,798.20"
2021/4/22,2496.896339,"1,787.80"
2021/4/23,2284.509825,"1,781.80"
2021/4/24,2286.203246,
2021/4/25,2263.418274,
2021/4/26,2456.613075,"1,773.40"
2021/4/27,2574.359833,"1,784.20"
2021/4/28,2688.177749,"1,772.20"
2021/4/29,2747.882264,"1,762.70"
2021/4/30,2758.340471,"1,767.70"
2021/5/1,2848.508427,
2021/5/2,2940.415929,
2021/5/3,3164.681816,"1,767.70"
2021/5/4,3342.325658,"1,797.80"
2021/5/5,3368.815237,"1,782.30"
2021/5/6,3492.882473,"1,813.20"
2021/5/7,3489.443734,"1,836.60"
2021/5/8,3640.847089,
2021/5/9,3887.974499,
2021/5/10,4069.175837,"1,840.50"
2021/5/11,4092.632725,"1,829.10"
2021/5/12,4162.827897,"1,830.70"
2021/5/13,3929.574924,"1,821.80"
2021/5/14,3949.268328,"1,838.10"
2021/5/15,3947.034864,
2021/5/16,3756.477187,
2021/5/17,3370.915561,"1,853.70"
2021/5/18,3437.209179,"1,866.80"
2021/5/19,3302.680253,"1,888.50"
2021/5/20,2656.723333,"1,878.30"
2021/5/21,2611.554427,"1,875.90"
2021/5/22,2361.51219,
2021/5/23,2153.149647,
2021/5/24,2349.482012,"1,880.20"
2021/5/25,2621.664292,"1,887.00"
2021/5/26,2729.866689,"1,899.80"
2021/5/27,2744.521763,"1,891.50"
2021/5/28,2577.976137,"1,900.00"
2021/5/29,2436.931283,
2021/5/30,2345.968579,
2021/5/31,2466.521729,"1,900.00"
2021/6/1,2593.622209,"1,899.40"
2021/6/2,2656.855773,"1,902.80"
2021/6/3,2748.944583,"1,866.60"
2021/6/4,2694.961341,"1,890.60"
2021/6/5,2714.368024,
2021/6/6,2650.51842,
2021/6/7,2731.52375,"1,888.40"
2021/6/8,2555.837973,"1,893.20"
2021/6/9,2528.853197,"1,894.60"
2021/6/10,2563.480817,"1,888.70"
2021/6/11,2496.722674,"1,881.10"
2021/6/12,2450.515,
2021/6/13,2430.118014,
2021/6/14,2468.992341,"1,865.60"
2021/6/15,2575.813014,"1,865.10"
2021/6/16,2490.899365,"1,860.80"
2021/6/17,2417.410906,"1,778.70"
2021/6/18,2343.748664,"1,773.10"
2021/6/19,2215.459278,
2021/6/20,2219.274167,
2021/6/21,2181.380292,"1,775.10"
2021/6/22,1939.924864,"1,775.10"
2021/6/23,1888.881667,"1,791.60"
2021/6/24,1973.995833,"1,784.90"
2021/6/25,2012.7,"1,786.70"
2021/6/26,1983.709225,
2021/6/27,1907.336861,
2021/6/28,1991.80553,"1,780.30"
2021/6/29,2126.44684,"1,755.50"
2021/6/30,2134.53646,"1,763.20"
2021/7/1,2104.59,"1,781.50"
2021/7/2,2097.40134,"1,786.20"
2021/7/3,2126.033081,
2021/7/4,2292.620158,
2021/7/5,2322.764004,"1,791.40"
2021/7/6,2328.822865,"1,809.90"
2021/7/7,2358.774745,"1,804.70"
2021/7/8,2206.916244,"1,807.70"
2021/7/9,2130.485526,"1,806.00"
2021/7/10,2122.318246,
2021/7/11,2127.194702,
2021/7/12,2112.241636,"1,792.40"
2021/7/13,2006.273967,"1,813.90"
2021/7/14,1956.567788,"1,823.20"
2021/7/15,1955.743838,"1,823.80"
2021/7/16,1913.891239,"1,824.30"
2021/7/17,1891.072159,
2021/7/18,1935.870699,
2021/7/19,1856.198512,"1,814.90"
2021/7/20,1776.659437,"1,823.10"
2021/7/21,1875.434892,"1,802.20"
2021/7/22,1998.246225,"1,799.50"
2021/7/23,2068.494707,"1,799.60"
2021/7/24,2127.109728,
2021/7/25,2158.515823,
2021/7/26,2309.316105,"1,800.20"
2021/7/27,2238.700011,"1,800.40"
2021/7/28,2295.490738,"1,796.60"
2021/7/29,2307.376437,"1,829.30"
2021/7/30,2405.689239,"1,825.80"
2021/7/31,2455.368472,
2021/8/1,2597.125884,
2021/8/2,2633.306135,"1,811.50"
2021/8/3,2638.93,"1,812.70"
2021/8/4,2638.93,"1,829.10"
2021/8/5,2638.93,"1,800.80"
2021/8/6,2638.93,"1,762.90"
2021/8/7,2880.601886,
2021/8/8,3078.322862,
2021/8/9,3057.420381,"1,738.90"
2021/8/10,3110.39965,"1,723.40"
2021/8/11,3195.261157,"1,743.60"
2021/8/12,3123.894277,"1,747.40"
2021/8/13,3195.072381,"1,773.90"
2021/8/14,3254.891952,
2021/8/15,3257.155146,
2021/8/16,3246.050411,"1,786.40"
2021/8/17,3161.634932,"1,789.50"
2021/8/18,3044.348635,"1,783.50"
2021/8/19,3034.065302,"1,782.10"
2021/8/20,3212.005897,"1,779.10"
2021/8/21,3259.498196,
2021/8/22,3222.77875,
2021/8/23,3315.386025,"1,802.00"
2021/8/24,3277.571123,"1,808.50"
2021/8/25,3176.45827,"1,788.70"
2021/8/26,3189.16118,"1,786.60"
2021/8/27,3174.155747,"1,798.50"
2021/8/28,3252.430047,
2021/8/29,3232.765742,
2021/8/30,3200.789099,"1,798.50"
2021/8/31,3311.78931,"1,814.90"
2021/9/1,3573.711947,"1,811.80"
2021/9/2,3768.635411,"1,812.60"
2021/9/3,3890.069975,"1,823.70"
2021/9/4,3911.757793,
2021/9/5,3896.551483,
2021/9/6,3932.463748,"1,821.60"
2021/9/7,3722.889526,"1,802.20"
2021/9/8,3410.894239,"1,786.00"
2021/9/9,3499.536623,"1,788.30"
2021/9/10,3394.063793,"1,794.60"
2021/9/11,3267.023645,
2021/9/12,3357.080305,
2021/9/13,3332.932628,"1,793.90"
2021/9/14,3337.739384,"1,792.80"
2021/9/15,3419.366667,"1,797.00"
2021/9/16,3422.55,"1,748.00"
2021/9/17,3421.172286,"1,756.00"
2021/9/18,3469.773188,
2021/9/19,3393.484432,
2021/9/20,3132.67987,"1,757.80"
2021/9/21,3035.76,"1,774.50"
2021/9/22,3035.76,"1,773.40"
2021/9/23,3035.76,"1,750.00"
2021/9/24,3021.341667,"1,746.80"
2021/9/25,2931.434008,
2021/9/26,2962.162449,
2021/9/27,3065.885836,"1,755.30"
2021/9/28,2909.33267,"1,733.80"
2021/9/29,2890.63932,"1,737.20"
2021/9/30,2995.902883,"1,742.80"
2021/10/1,3169.389906,"1,757.10"
2021/10/2,3343.434471,
2021/10/3,3417.916388,
2021/10/4,3369.18789,"1,754.60"
2021/10/5,3435.893419,"1,753.20"
2021/10/6,3508.346323,"1,759.70"
2021/10/7,3584.63686,"1,762.10"
2021/10/8,3610.449269,"1,773.30"
2021/10/9,3590.450876,
2021/10/10,3544.894187,
2021/10/11,3550.484343,"1,757.70"
2021/10/12,3493.024427,"1,767.80"
2021/10/13,3504.167258,"1,785.70"
2021/10/14,3699.840811,"1,798.70"
2021/10/15,3827.065499,"1,772.70"
2021/10/16,3879.12245,
2021/10/17,3839.434755,
2021/10/18,3798.410076,"1,767.90"
2021/10/19,3811.803499,"1,779.60"
2021/10/20,3964.405676,"1,778.00"
2021/10/21,4161.00095,"1,779.30"
2021/10/22,4071.263684,"1,808.30"
2021/10/23,4063.987793,
2021/10/24,4081.558538,
2021/10/25,4177.614592,"1,805.30"
2021/10/26,4223.309517,"1,785.60"
2021/10/27,4064.278924,"1,795.30"
2021/10/28,4142.224935,"1,803.50"
2021/10/29,4388.226133,"1,769.20"
2021/10/30,4343.267427,
2021/10/31,4290.244939,
2021/11/1,4313.643563,"1,793.80"
2021/11/2,4442.403989,"1,790.50"
2021/11/3,4591.590358,"1,763.50"
2021/11/4,4550.348898,"1,796.20"
2021/11/5,4515.499394,"1,801.90"
2021/11/6,4468.308901,
2021/11/7,4594.272655,
2021/11/8,4752.883622,"1,822.40"
2021/11/9,4797.308726,"1,827.30"
2021/11/10,4754.109236,"1,859.40"
2021/11/11,4704.671667,"1,857.90"
2021/11/12,4699.854167,"1,860.60"
2021/11/13,4658.79926,
2021/11/14,4624.179286,
2021/11/15,4662.165841,"1,859.90"
2021/11/16,4315.553949,"1,859.20"
2021/11/17,4220.768648,"1,864.90"
2021/11/18,4307.363956,"1,860.30"
2021/11/19,4147.345379,"1,861.10"
2021/11/20,4343.420417,
2021/11/21,4373.093333,
2021/11/22,4173.456318,"1,816.10"
2021/11/23,4177.918578,"1,789.20"
2021/11/24,4282.929509,"1,782.10"
2021/11/25,4355.316476,"1,788.20"
2021/11/26,4207.709042,"1,800.80"
2021/11/27,4116.213733,
2021/11/28,4087.950781,
2021/11/29,4357.451704,"1,786.00"
2021/11/30,4523.858194,"1,804.40"
2021/12/1,4692.756227,"1,789.30"
2021/12/2,4539.028,"1,765.00"
2021/12/3,4456.387205,"1,767.60"
2021/12/4,4004.520753,
2021/12/5,4140.337793,
2021/12/6,4132.286219,"1,778.70"
2021/12/7,4333.23,"1,781.40"
2021/12/8,4356.677676,"1,783.80"
2021/12/9,4289.064996,"1,776.20"
2021/12/10,4098.164348,"1,779.80"
2021/12/11,4012.142278,
2021/12/12,4063.792239,
2021/12/13,3922.2001,"1,787.80"
2021/12/14,3809.362083,"1,776.90"
2021/12/15,3879.32,"1,768.70"
2021/12/16,4036.783985,"1,795.70"
2021/12/17,3901.604044,"1,807.70"
2021/12/18,3911.442282,
2021/12/19,3947.495274,
2021/12/20,3860.678929,"1,796.30"
2021/12/21,4002.671165,"1,793.80"
2021/12/22,4014.67282,"1,792.80"
2021/12/23,3993.954365,"1,805.20"
2021/12/24,4093.513095,"1,805.20"
2021/12/25,4072.281866,
2021/12/26,4058.273423,
2021/12/27,4070.14723,"1,805.20"
2021/12/28,3897.722457,"1,805.20"
2021/12/29,3781.945347,"1,794.30"
2021/12/30,3708.939008,"1,805.90"
2021/12/31,3732.517314,"1,805.90"
